id;morph;angle_vert_left_1;angle_vert_right_1;top_left_1;side_left_1;top_right_1;side_right_1;angle_vert_left_2;angle_vert_right_2;top_left_2;side_left_2;top_right_2;side_right_2;angle_ts_left_1;angle_ts_left_2;angle_ts_right_1;angle_ts_right_2;vert_mean_1;vert_mean_2;ts_mean_1;ts_mean_2,,,,,,,,,,,,,,,,
PC4204;PL;90;52;0,14;0,1;0,11;0,1;93;42;0,15;0,1;0,1;0,14;54,46232221;56,30993247;47,72631099;35,53767779;71;67,5;51,0943166;45,92380513,
PC4205;PL;57;39;0,12;0,08;0,1;0,12;41;50;0,11;0,09;0,13;0,12;56,30993247;50,71059314;39,80557109;47,29061004;48;45,5;48,05775178;49,60159,
PC4206;PL;38;57;0,07;0,11;0,08;0,11;35;57;0,14;0,13;0,09;0,13;32,47119229;47,1210964;36,02737339;34,69515353;47,5;46;34,24928284;40,90812496,
PC4208;PL;40;26;0,09;0,12;0,08;0,15;22;36;0,09;0,17;0,08;0,16;36,86989765;27,89727103;28,07248694;26,56505118;33;29;32,47119229;27,2311611,,
PC4210;PL;41;43;0,12;0,16;0,11;0,18;34;36;0,12;0,17;0,12;0,2;36,86989765;35,21759297;31,42956561;30,96375653;42;35;34,14973163;33,9067475,,
PC4211;PL;31;45;0,04;0,12;0,03;0,18;32;41;0,07;0,11;0,04;0,18;18,43494882;32,47119229;9,462322208;12,52880771;38;36,5;13,94863552;22,5,
PC4212;PL;32;60;0,09;0,14;0,08;0,13;53;44;0,11;0,12;0,12;0,14;32,73522627;42,51044708;31,60750225;40,60129465;46;48,5;32,17136426;41,55587086,
PC4213;PL;43;32;0,05;0,15;0,07;0,13;37;49;0,08;0,16;0,1;0,21;18,43494882;26,56505118;28,30075577;25,46334506;37,5;43;23,36785229;26,1419812,
PC4214;PL;25;32;0,06;0,12;0,13;0,09;27;23;0,05;0,1;0,12;0,1;26,56505118;26,56505118;55,30484647;50,19442891;28,5;25;40,93494882;38,37974004,
PC4216;PL;22;66;0,11;0,17;0,11;0,13;22;33;0,11;0,15;0,12;0,13;32,90524292;36,25383774;40,23635831;42,70938996;44;27,5;36,57080062;39,48161385,
