id_me,morph,length_cm,weight_g,sex,mat,age,may_maxilla_rt,may_maxilla_lt,may_premaxilla_rt,may_premaxilla_lt,may_palatine_rt,may_palatine_lt,may_dentary_rt,may_dentary_lt,may_vomer,may_glossohyal,may_maxilla_mean,may_premaxilla_mean,may_palatine_mean,may_dentary_mean,may_maxilla_sum,may_premaxilla_sum,may_palatine_sum,may_dentary_sum,march_maxilla_rt,march_maxilla_lt,march_premaxilla_rt,march_premaxilla_lt,march_palatine_rt,march_palatine_lt,march_dentary_rt,march_dentary_lt,march_vomer,march_glossohyal,march_maxilla_mean,march_premaxilla_mean,march_palatine_mean,march_dentary_mean,march_maxilla_sum,march_premaxilla_sum,march_palatine_sum,march_dentary_sum,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,maxilla_rt,maxilla_lt,premaxilla_rt,premaxilla_lt,palatine_rt,palatine_lt,dentary_rt,dentary_lt,maxilla,premaxilla,palatine,dentary,vomer,glossohyal
PC3863,PL,14,33,M,4,4,19,19,9,7,16,16,15,13,3,13,19,8,16,14,38,16,32,28,19,21,9,7,16,17,15,12,4,10,20,8,16.5,13.5,40,16,33,27,0.5710018,0.5643297,-1.045710316,19,20,9,7,16,16.5,15,12.5,19.5,8,16.25,13.75,3.5,11.5
PC3864,PI,45,1078,M,6,9,21,22,8,7,19,21,21,21,5,12,21.5,7.5,20,21,43,15,40,42,22,24,8,8,19,20,21,18,5,12,23,8,19.5,19.5,46,16,39,39,2.0029992,1.8850439,0.414055703,21.5,23,8,7.5,19,20.5,21,19.5,22.25,7.75,19.75,20.25,5,12
PC3865,PI,24.5,162,M,6,7,21,19,9,8,18,20,18,18,4,13,20,8.5,19,18,40,17,38,36,21,20,8,8,18,20,18,18,5,11,20.5,8,19,18,41,16,38,36,1.1564078,1.1188713,-0.413937577,21,19.5,8.5,8,18,20,18,18,20.25,8.25,19,18,4.5,12
PC3867,LB,24.5,145,F,7.2,NA,23,25,9,9,18,17,16,15,7,12,24,9,17.5,15.5,48,18,35,31,25,23,9,7,18,16,15,13,7,11,24,8,17,14,48,16,34,28,0.9464805,1.0379227,-0.379390371,24,24,9,8,18,16.5,15.5,14,24,8.5,17.25,14.75,7,11.5
PC3868,LB,34.2,430,F,7.2,6,21,22,7,7,20,18,17,16,3,11,21.5,7,19,16.5,43,14,38,33,21,21,7,7,20,18,17,16,3,9,21,7,19,16.5,42,14,38,33,1.038272,1.0363248,-0.444461286,21,21.5,7,7,20,18,17,16,21.25,7,19,16.5,3,10
PC3870,PL,20.5,81,F,5,7,19,18,8,8,19,NA,17,17,5,12,18.5,8,19,17,37,16,NA,34,19,18,8,7,20,NA,17,17,5,11,18.5,7.5,20,17,37,15,NA,34,0.9242483,0.8542629,-0.725948756,19,18,8,7.5,19.5,NA,17,17,18.5,7.75,19.5,17,5,11.5
PC3873,PL,18.5,65,M,4,5,20,19,7,6,19,16,17,17,7,13,19.5,6.5,17.5,17,39,13,35,34,19,18,5,6,16,16,17,15,6,13,18.5,5.5,16,16,37,11,32,32,0.8320848,0.8136642,-0.880453934,19.5,18.5,6,6,17.5,16,17,16,19,6,16.75,16.5,6.5,13
PC3875,PL,21,103,M,4,5,20,20,7,8,19,15,16,17,4,13,20,7.5,17,16.5,40,15,34,33,21,21,7,8,17,14,15,15,4,13,21,7.5,15.5,15,42,15,31,30,0.9819967,0.9586296,-0.568431211,20.5,20.5,7,8,18,14.5,15.5,16,20.5,7.5,16.25,15.75,4,13
PC3876,PL,18.8,74,F,5,5,17,18,NA,9,14,14,17,15,4,12,17.5,9,14,16,35,NA,28,32,19,21,NA,7,15,15,14,13,4,13,20,7,15,13.5,40,NA,30,27,0.7322076,0.7692542,-0.86281665,18,19.5,NA,8,14.5,14.5,15.5,14,18.75,8,14.5,14.75,4,12.5
PC3885,PL,19.1,72,M,6,5,19,21,NA,7,16,14,16,18,3,13,20,7,15,17,40,NA,30,34,21,21,NA,6,17,NA,13,16,3,11,21,6,17,14.5,42,NA,NA,29,0.8210114,0.8528283,-0.774791158,20,21,NA,6.5,16.5,14,14.5,17,20.5,6.5,15.66666667,15.75,3,12
PC3896,PI,32.8,420,M,6,7,20,20,8,8,17,17,18,20,5,14,20,8,17,19,40,16,34,38,22,23,8,8,17,17,18,17,5,12,22.5,8,17,17.5,45,16,34,35,1.5252606,1.5156805,-0.057643464,21,21.5,8,8,17,17,18,18.5,21.25,8,17,18.25,5,13
PC3898,PI,45.6,1246,M,6,10,25,22,8,9,20,20,19,20,7,13,23.5,8.5,20,19.5,47,17,40,39,23,23,8,9,20,20,18,19,7,13,23,8.5,20,18.5,46,17,40,37,2.025862,2.02753,0.637697336,24,22.5,8,9,20,20,18.5,19.5,23.25,8.5,20,19,7,13
PC3899,LB,48.7,1420,F,6,9,24,24,NA,10,20,18,19,17,5,13,24,10,19,18,48,NA,38,36,24,24,NA,10,20,18,17,15,5,11,24,10,19,16,48,NA,38,32,1.6971693,1.7703241,0.465863757,24,24,NA,10,20,18,18,16,24,10,19,17,5,12
PC3900,PI,42.3,1091,F,5,8,24,25,8,7,19,18,18,20,7,14,24.5,7.5,18.5,19,49,15,37,38,21,22,8,7,19,18,17,17,7,14,21.5,7.5,18.5,17,43,15,37,34,1.6523943,1.6069573,0.12783555,22.5,23.5,8,7,19,18,17.5,18.5,23,7.5,18.5,18,7,14
PC3901,PI,32.6,396,M,6,8,25,23,9,9,18,17,16,16,5,12,24,9,17.5,16,48,18,35,32,26,24,9,7,18,17,14,13,5,11,25,8,17.5,13.5,50,16,35,27,1.4216041,1.4128628,0.004037116,25.5,23.5,9,8,18,17,15,14.5,24.5,8.5,17.5,14.75,5,11.5
PC3902,PI,57.3,2894,M,5,10,25,25,7,7,21,19,17,17,5,12,25,7,20,17,50,14,40,34,25,24,7,7,21,17,17,15,5,12,24.5,7,19,16,49,14,38,32,2.1712059,2.1100131,0.71242774,25,24.5,7,7,21,18,17,16,24.75,7,19.5,16.5,5,12
PC3903,SB,17,56.35,F,5,5,24,20,9,NA,18,17,13,12,7,11,22,9,17.5,12.5,44,NA,35,25,22,19,9,NA,18,17,11,11,4,10,20.5,9,17.5,11,41,NA,35,22,0.6000235,0.6346327,-0.774381933,23,19.5,9,NA,18,17,12,11.5,21.25,9,17.5,11.75,5.5,10.5
PC3904,SB,12.9,28.22,F,5,4,20,19,9,8,15,16,13,11,5,12,19.5,8.5,15.5,12,39,17,31,24,19,19,9,8,14,16,11,9,5,13,19,8.5,15,10,38,17,30,20,0.4150921,0.4516642,-1.003410065,19.5,19,9,8,14.5,16,12,10,19.25,8.5,15.25,11,5,12.5
PC3905,SB,14.9,30.98,F,2,5,20,21,8,8,17,19,13,13,4,12,20.5,8,18,13,41,16,36,26,21,20,7,8,17,19,12,13,4,11,20.5,7.5,18,12.5,41,15,36,25,0.6152143,0.6168322,-0.777672664,20.5,20.5,7.5,8,17,19,12.5,13,20.5,7.75,18,12.75,4,11.5
PC3906,SB,13.7,28,F,2,7,24,25,9,8,14,NA,14,15,5,14,24.5,8.5,14,14.5,49,17,NA,29,24,24,8,8,14,NA,14,15,5,13,24,8,14,14.5,48,16,NA,29,0.5430349,0.5517737,-0.912239832,24,24.5,8.5,8,14,NA,14,15,24.25,8.25,14,14.5,5,13.5
PC3907,SB,15,33.2,F,2,5,23,23,9,8,15,16,13,13,1,13,23,8.5,15.5,13,46,17,31,26,23,22,8,8,15,16,12,13,1,11,22.5,8,15.5,12.5,45,16,31,25,0.5394382,0.542951,-0.904789606,23,22.5,8.5,8,15,16,12.5,13,22.75,8.25,15.5,12.75,1,12
PC3908,SB,15.2,35.16,F,2,6,19,17,7,7,15,14,13,15,5,10,18,7,14.5,14,36,14,29,28,17,17,7,6,15,16,13,12,4,9,17,6.5,15.5,12.5,34,13,31,25,0.6217177,0.6542346,-0.877749849,18,17,7,6.5,15,15,13,13.5,17.5,6.75,15,13.25,4.5,9.5
PC3909,SB,13.5,22.81,M,5,4,21,20,9,7,17,16,13,14,6,12,20.5,8,16.5,13.5,41,16,33,27,20,21,9,7,17,16,13,13,6,12,20.5,8,16.5,13,41,16,33,26,0.5015971,0.5668606,-0.860448789,20.5,20.5,9,7,17,16,13,13.5,20.5,8,16.5,13.25,6,12
PC3910,SB,13,24.5,M,4,6,25,24,7,8,16,17,14,14,4,14,24.5,7.5,16.5,14,49,15,33,28,25,22,7,7,17,17,12,12,4,12,23.5,7,17,12,47,14,34,24,0.5085693,0.6118178,-0.853142035,25,23,7,7.5,16.5,17,13,13,24,7.25,16.75,13,4,13
PC3911,SB,14.2,27.55,F,7/2,4,18,20,8,NA,15,15,14,12,3,13,19,8,15,13,38,NA,30,26,18,19,7,NA,15,15,14,12,3,11,18.5,7,15,13,37,NA,30,26,0.4846234,0.5699031,-0.974304755,18,19.5,7.5,NA,15,15,14,12,18.75,7.5,15,13,3,12
PC3912,SB,16.2,41.6,F,2,7,19,NA,8,9,17,17,14,14,4,15,19,8.5,17,14,NA,17,34,28,19,NA,7,8,17,17,14,14,3,15,19,7.5,17,14,NA,15,34,28,0.6862319,0.7224972,-0.705606857,19,NA,7.5,8.5,17,17,14,14,19,8,17,14,3.5,15
PC3913,SB,12.9,24.26,M,6,4,19,18,8,7,17,16,10,12,5,8,18.5,7.5,16.5,11,37,15,33,22,19,19,7,6,18,16,10,12,5,8,19,6.5,17,11,38,13,34,22,0.473748,0.5436717,-0.938199131,19,18.5,7.5,6.5,17.5,16,10,12,18.75,7,16.75,11,5,8
PC3914,SB,15.9,45.37,F,5,NA,21,21,9,8,17,18,14,13,6,12,21,8.5,17.5,13.5,42,17,35,27,21,22,8,8,17,18,14,14,6,12,21.5,8,17.5,14,43,16,35,28,0.6782429,0.703114,-0.7808484,21,21.5,8.5,8,17,18,14,13.5,21.25,8.25,17.5,13.75,6,12
PC3915,SB,13.7,26.47,M,6,5,22,19,9,8,17,15,14,15,5,14,20.5,8.5,16,14.5,41,17,32,29,22,20,8,7,17,15,13,15,5,11,21,7.5,16,14,42,15,32,28,0.5445751,0.6255865,-0.875101655,22,19.5,8.5,7.5,17,15,13.5,15,20.75,8,16,14.25,5,12.5
PC3916,SB,13.9,27.19,M,6,4,19,18,8,6,17,18,13,14,3,11,18.5,7,17.5,13.5,37,14,35,27,20,17,8,4,17,17,12,13,3,10,18.5,6,17,12.5,37,12,34,25,0.4695412,0.5047694,-0.972828179,19.5,17.5,8,5,17,17.5,12.5,13.5,18.5,6.5,17.25,13,3,10.5
PC3917,SB,14.7,35.24,M,6,4,21,20,8,8,NA,16,15,14,3,13,20.5,8,16,14.5,41,16,NA,29,20,20,8,8,NA,17,14,13,3,11,20,8,17,13.5,40,16,NA,27,0.5828725,0.6151123,-0.861368739,20.5,20,8,8,NA,16.5,14.5,13.5,20.25,8,16.5,14,3,12
PC3918,SB,14.8,35.5,M,5/6,5,21,20,9,8,15,16,13,14,5,10,20.5,8.5,15.5,13.5,41,17,31,27,20,18,8,8,15,16,14,13,4,10,19,8,15.5,13.5,38,16,31,27,0.5853096,0.6437018,-0.798660967,20.5,19,8.5,8,15,16,13.5,13.5,19.75,8.25,15.5,13.5,4.5,10
PC3919,SB,14.5,31.49,F,7/2,5,18,18,NA,6,16,16,11,12,5,NA,18,6,16,11.5,36,NA,32,23,19,17,NA,6,16,16,12,13,4,NA,18,6,16,12.5,36,NA,32,25,0.5350201,0.6159936,-0.85093237,18.5,17.5,NA,6,16,16,11.5,12.5,18,6,16,12,4.5,NA
PC3920,SB,15.8,40.13,F,6,7,NA,19,NA,10,15,14,13,14,3,11,19,10,14.5,13.5,NA,NA,29,27,NA,19,NA,9,14,14,13,13,3,10,19,9,14,13,NA,NA,28,26,0.577064,0.6326842,-0.732467664,NA,19,NA,9.5,14.5,14,13,13.5,19,9.5,14.25,13.25,3,10.5
PC3921,SB,11.2,16,F,1/2,3,18,18,7,8,13,12,12,11,NA,11,18,7.5,12.5,11.5,36,15,25,23,20,19,7,7,12,11,11,11,NA,10,19.5,7,11.5,11,39,14,23,22,0.166474,0.1868123,-1.230980929,19,18.5,7,7.5,12.5,11.5,11.5,11,18.75,7.25,12,11.25,NA,10.5
PC3922,SB,14.8,21.2,M,6,4,20,18,8,9,16,17,13,14,7,12,19,8.5,16.5,13.5,38,17,33,27,19,19,8,7,16,17,12,14,6,12,19,7.5,16.5,13,38,15,33,26,0.5711424,0.5529679,-0.840918147,19.5,18.5,8,8,16,17,12.5,14,19,8,16.5,13.25,6.5,12
PC3923,SB,13.9,27.7,M,6,4,18,19,8,7,15,16,12,12,1,15,18.5,7.5,15.5,12,37,15,31,24,17,19,8,6,15,15,12,11,3,13,18,7,15,11.5,36,14,30,23,0.5995857,0.6413723,-0.837887336,17.5,19,8,6.5,15,15.5,12,11.5,18.25,7.25,15.25,11.75,2,14
PC3924,SB,13.6,26.44,M,6,6,19,19,8,8,15,16,10,12,2,12,19,8,15.5,11,38,16,31,22,19,21,7,8,15,17,10,11,3,10,20,7.5,16,10.5,40,15,32,21,0.4352847,0.5046917,-0.997121018,19,20,7.5,8,15,16.5,10,11.5,19.5,7.75,15.75,10.75,2.5,11
PC3925,SB,14.8,31.05,F,7/2,5,16,15,8,8,14,15,13,12,5,12,15.5,8,14.5,12.5,31,16,29,25,16,15,8,8,16,15,13,11,5,12,15.5,8,15.5,12,31,16,31,24,0.4724983,0.4958832,-0.9025594,16,15,8,8,15,15,13,11.5,15.5,8,15,12.25,5,12
PC3926,SB,13.7,25.66,M,7,5,20,18,8,8,16,17,14,14,3,11,19,8,16.5,14,38,16,33,28,20,19,7,8,16,17,14,12,3,10,19.5,7.5,16.5,13,39,15,33,26,0.5364519,0.5866406,-0.913631681,20,18.5,7.5,8,16,17,14,13,19.25,7.75,16.5,13.5,3,10.5
PC3927,SB,13.3,28.1,M,5,6,16,21,8,7,16,16,14,11,2,10,18.5,7.5,16,12.5,37,15,32,25,16,21,8,5,17,16,14,11,2,10,18.5,6.5,16.5,12.5,37,13,33,25,0.4263665,0.5107096,-0.950879056,16,21,8,6,16.5,16,14,11,18.5,7,16.25,12.5,2,10
PC3928,SB,12,18.5,F,1/2,4,22,21,NA,8,13,13,12,13,4,NA,21.5,8,13,12.5,43,NA,26,25,21,22,NA,7,12,15,12,13,4,NA,21.5,7,13.5,12.5,43,NA,27,25,0.343988,0.3711457,-1.060488942,21.5,21.5,NA,7.5,12.5,14,12,13,21.5,7.5,13.25,12.5,4,NA
PC3929,SB,13.3,26.92,M,5,5,21,20,10,9,19,16,12,13,7,13,20.5,9.5,17.5,12.5,41,19,35,25,21,20,10,8,18,15,12,13,7,11,20.5,9,16.5,12.5,41,18,33,25,0.4993513,0.5551984,-0.857250736,21,20,10,8.5,18.5,15.5,12,13,20.5,9.25,17,12.5,7,12
PC3930,SB,13.28,27.2,F,7/2,4,19,18,8,NA,15,15,13,11,3,12,18.5,8,15,12,37,NA,30,24,20,17,6,NA,15,15,13,11,4,12,18.5,6,15,12,37,NA,30,24,0.4890359,0.5175446,-0.968886261,19.5,17.5,7,NA,15,15,13,11,18.5,7,15,12,3.5,12
PC3931,SB,11.8,16.33,F,2,5,20,19,NA,7,14,13,13,12,3,12,19.5,7,13.5,12.5,39,NA,27,25,19,19,NA,6,15,13,12,12,3,11,19,6,14,12,38,NA,28,24,0.302511,0.3344535,-1.059804303,19.5,19,NA,6.5,14.5,13,12.5,12,19.25,6.5,13.75,12.25,3,11.5
PC3932,SB,11.5,15.13,M,5,5,18,18,NA,8,16,15,10,14,NA,11,18,8,15.5,12,36,NA,31,24,16,18,NA,8,15,15,10,14,NA,10,17,8,15,12,34,NA,30,24,0.2926577,0.3003698,-1.123799011,17,18,NA,8,15.5,15,10,14,17.5,8,15.25,12,NA,10.5
PC3933,SB,10.8,13.32,M,6,NA,NA,19,NA,6,13,17,11,12,4,12,19,6,15,11.5,NA,NA,30,23,NA,19,NA,6,13,15,11,12,4,12,19,6,14,11.5,NA,NA,28,23,0.3582864,0.3872391,-1.153053901,NA,19,NA,6,13,16,11,12,19,6,14.5,11.5,4,12
PC3934,SB,11.1,14.32,M,5,4,19,18,NA,7,15,14,11,11,3,14,18.5,7,14.5,11,37,NA,29,22,18,16,NA,7,14,14,11,10,3,14,17,7,14,10.5,34,NA,28,21,0.1952916,0.2181833,-1.183775094,18.5,17,NA,7,14.5,14,11,10.5,17.75,7,14.25,10.75,3,14
PC3935,SB,10.4,11.87,M,1/2,4,21,19,8,8,15,15,10,10,1,13,20,8,15,10,40,16,30,20,20,20,5,7,14,16,11,11,1,11,20,6,15,11,40,12,30,22,0.1359213,0.1303157,-1.272472238,20.5,19.5,6.5,7.5,14.5,15.5,10.5,10.5,20,7,15,10.5,1,12
PC4200,PL,12.3,22.18,M,6,5,17,20,8,8,15,14,14,17,3,13,18.5,8,14.5,15.5,37,16,29,31,19,20,7,7,14,17,12,15,3,12,19.5,7,15.5,13.5,39,14,31,27,0.4072205,0.4566677,-1.185360757,18,20,7.5,7.5,14.5,15.5,13,16,19,7.5,15,14.5,3,12.5
PC4201,PL,14,29.18,M,4,5,20,21,8,9,16,18,16,16,4,13,20.5,8.5,17,16,41,17,34,32,20,23,7,7,16,17,16,15,4,13,21.5,7,16.5,15.5,43,14,33,31,0.5865523,0.636036,-1.076760449,20,22,7.5,8,16,17.5,16,15.5,21,7.75,16.75,15.75,4,13
PC4202,PL,13.7,31.74,M,5,5,19,19,8,9,16,17,13,12,NA,10,19,8.5,16.5,12.5,38,17,33,25,21,20,8,8,16,16,12,13,NA,10,20.5,8,16,12.5,41,16,32,25,0.5022135,0.5689762,-1.048678246,20,19.5,8,8.5,16,16.5,12.5,12.5,19.75,8.25,16.25,12.5,NA,10
PC4203,PL,15,38.61,M,7,5,19,21,8,8,15,17,15,15,7,13,20,8,16,15,40,16,32,30,20,21,8,7,13,16,14,13,6,12,20.5,7.5,14.5,13.5,41,15,29,27,0.6118862,0.7029269,-1.172480586,19.5,21,8,7.5,14,16.5,14.5,14,20.25,7.75,15.25,14.25,6.5,12.5
PC4204,PL,13.4,26.01,M,5,5,19,19,9,7,21,20,17,16,6,12,19,8,20.5,16.5,38,16,41,33,19,21,8,6,20,20,15,15,6,12,20,7,20,15,40,14,40,30,0.502597,0.5801471,-1.02897568,19,20,8.5,6.5,20.5,20,16,15.5,19.5,7.5,20.25,15.75,6,12
PC4205,PL,13.6,29.49,M,4,4,19,18,NA,8,14,14,15,15,4,12,18.5,8,14,15,37,NA,28,30,21,20,NA,8,14,14,14,12,4,13,20.5,8,14,13,41,NA,28,26,0.5378583,0.5518292,-1.045443037,20,19,NA,8,14,14,14.5,13.5,19.5,8,14,14,4,12.5
PC4206,PL,13.3,25.06,M,6,4,17,17,9,8,18,16,12,14,3,13,17,8.5,17,13,34,17,34,26,18,18,8,8,19,16,10,13,3,13,18,8,17.5,11.5,36,16,35,23,0.4682351,0.4802286,-1.099458193,17.5,17.5,8.5,8,18.5,16,11,13.5,17.5,8.25,17.25,12.25,3,13
PC4207,PL,13.6,29.32,M,6,4,16,17,8,NA,14,NA,14,13,NA,13,16.5,8,14,13.5,33,NA,NA,27,16,18,7,NA,14,NA,12,13,NA,12,17,7,14,12.5,34,NA,NA,25,0.5604644,0.5615581,-1.151141189,16,17.5,7.5,NA,14,NA,13,13,16.75,7.5,14,13,NA,12.5
PC4208,PL,14.7,37.35,M,6,4,21,19,8,8,16,15,16,15,4,13,20,8,15.5,15.5,40,16,31,31,21,21,7,8,16,13,16,13,3,12,21,7.5,14.5,14.5,42,15,29,29,0.6601469,0.6539983,-0.971904167,21,20,7.5,8,16,14,16,14,20.5,7.75,15,15,3.5,12.5
PC4209,PL,14,30.39,M,6,NA,17,19,NA,7,16,14,15,14,NA,11,18,7,15,14.5,36,NA,30,29,18,20,NA,6,17,14,14,13,NA,11,19,6,15.5,13.5,38,NA,31,27,0.5430616,0.4873203,-1.109427483,17.5,19.5,NA,6.5,16.5,14,14.5,13.5,18.5,6.5,15.25,14,NA,11
PC4210,PL,17,52.56,M,6,5,18,18,6,NA,15,16,15,15,1,12,18,6,15.5,15,36,NA,31,30,17,18,6,NA,14,16,14,14,1,12,17.5,6,15,14,35,NA,30,28,0.6710905,0.729533,-0.954332778,17.5,18,6,NA,14.5,16,14.5,14.5,17.75,6,15.25,14.5,1,12
PC4211,PL,15.6,39.25,M,5,4,15,14,7,8,14,14,15,14,5,11,14.5,7.5,14,14.5,29,15,28,29,16,15,6,8,14,14,13,11,5,11,15.5,7,14,12,31,14,28,24,0.6388534,0.5924699,-0.952107117,15.5,14.5,6.5,8,14,14,14,12.5,15,7.25,14,13.25,5,11
