id_me,morph,length_cm,weight_g,logCsize_M,sex,age,sideLR,tooth,top,side,angle
PC4220,SB,14.2,21.42,0.6014619,M,,Left,1,0.19,0.14,53.6156482
PC4221,SB,20.8,102.75,0.9806895,F,,Left,1,0.25,0.23,47.385944
PC4222,SB,14.1,32.86,0.7337661,M,,Left,1,0.28,0.26,47.1210964
PC4223,SB,14.3,31.8,0.4826848,F,,Left,1,0.18,0.14,52.1250164
PC4225,SB,16,44.77,0.5374071,F,,Left,1,0.21,0.11,62.3540246
PC4226,SB,11.9,14.48,0.3361367,F,,Left,1,0.16,0.11,55.491477
PC4227,SB,13.6,27.99,0.7040514,M,,Left,1,0.18,0.14,52.1250164
PC4228,SB,20.2,103.34,0.9322941,F,,Left,1,0.29,0.21,54.0902769
PC4229,SB,17,71.77,0.7528639,F,,Left,1,0.21,0.14,56.3099325
PC4230,SB,14.2,32.22,0.5756849,F,,Left,1,0.19,0.18,46.5481577
PC4232,SB,24.2,147.58,1.0602409,F,,Left,1,0.25,0.22,48.6522228
PC4237,PI,43.2,980,1.7342305,F,,Left,1,0.4,0.49,39.2256741
PC4238,PI,50,1795,2.1919838,M,,Left,1,0.77,0.87,41.5106751
PC4239,LB,43.4,995,1.7650706,M,,Left,1,0.49,0.63,37.8749837
PC4240,PI,41,780,1.6444442,F,,Left,1,0.54,0.45,50.1944289
PC4241,PI,35.6,490,1.4543679,F,,Left,1,0.09,0.48,10.6196553
PC4242,PI,33,425,1.6159891,M,,Left,1,0.31,0.34,42.3574547
PC4243,PI,36,565,1.6832638,M,,Left,1,0.61,0.58,46.4441255
PC4245,PI,27.2,245,1.363855,M,,Left,1,0.35,0.22,57.8477049
PC4246,SB,29.7,285,1.2668626,F,,Left,1,0.25,0.19,52.765166
PC4249,PI,47,1150,1.7600206,F,,Left,1,0.57,0.57,45
PC4250,PI,45,905,1.7956688,F,,Left,1,0.48,0.6,38.6598083
PC4251,PI,42.9,945,1.6200988,F,,Left,1,0.43,0.47,42.4551956
PC4252,PI,32.8,430,1.4275362,M,,Left,1,0.36,0.42,40.6012947
PC4253,PI,31,360,1.3084047,F,,Left,1,0.34,0.25,53.6731741
PC4254,PI,31.5,340,1.333377,F,,Left,1,0.19,0.28,34.1596946
PC4255,PI,34.4,375,1.4311301,F,,Left,1,0.39,0.35,48.0940581
PC4256,PI,28.9,265,1.3644274,M,,Left,1,0.38,0.54,35.1341931
PC4257,PI,29.6,265,1.2718684,M,,Left,1,0.17,0.41,22.5205656
PC4258,PI,30,240,1.3159993,F,,Left,1,0.32,0.26,50.9061411
PC4263,PL,26.4,185,1.0768645,F,,Left,1,0.18,0.23,38.0470425
PC4264,PL,22,125,1.0597176,M,,Left,1,0.21,0.14,56.3099325
PC4266,PL,25,160,1.0378989,F,,Left,1,0.15,0.2,36.8698977
PC4267,PL,27.1,200,1.2210298,F,,Left,1,0.29,0.32,42.1844433
PC4268,SB,22,98.33,0.9926104,F,,Left,1,0.29,0.2,55.4077113
PC4269,SB,22.5,113.25,1.061864,M,,Left,1,0.23,0.25,42.614056
PC4270,SB,21.9,111.02,1.0348432,F,,Left,1,0.29,0.2,55.4077113
PC4271,SB,20.2,82.76,0.8076641,F,,Left,1,0.24,0.22,47.4895529
PC4272,SB,19.6,78.88,0.8258154,F,,Left,1,0.33,0.22,56.3099325
PC4273,SB,20.6,100.88,0.9025003,F,,Left,1,0.27,0.22,50.826342
PC4274,SB,19,77.67,0.8481039,F,,Left,1,0.29,0.15,62.6501242
PC4275,SB,18.6,70.99,0.7715224,F,,Left,1,0.32,0.22,55.491477
PC4276,SB,17.8,73.1,0.8058694,F,,Left,1,0.21,0.19,47.8624052
PC4277,SB,18.9,78.02,0.7546978,F,,Left,1,0.26,0.18,55.3048465
PC4278,SB,19.1,84.33,0.8445676,F,,Left,1,0.26,0.15,60.0183606
PC4279,SB,20.5,82.97,1.0346174,M,,Left,1,0.26,0.17,56.8214883
PC4280,SB,19,75.13,0.940296,M,,Left,1,0.27,0.22,50.826342
PC4281,SB,13,19,0.4480576,F,,Left,1,0.11,0.1,47.726311
