id,morph,length_cm,weight_g,sex,head_length,glos_on,glos_off,glos_middel,glos_total,max_on,max_off,max_total,den_on,den_off,den_total,pal_on,pal_off,pal_total,vom_on,vom_off,vom_total,pre_on,pre_off,pre_total,angle,morph_sex
45,LB,26.5,237,M,60.01,5,6,NA,6,17,6,23,6,6,12,10,3,13,3,3,6,4,3,7,66.31,LBM
47,LB,28.6,267,M,58.36,5,5,NA,5,15,5,20,9,3,12,11,3,14,4,2,6,3,2,5,64.88,LBM
48,LB,29.6,320,M,69.74,5,5,NA,5,12,9,21,7,5,12,11,5,16,NA,NA,NA,3,4,7,42.13,LBM
49,LB,29.4,319,M,69.29,7,4,NA,4,14,9,23,10,2,12,7,3,10,4,3,7,4,2,6,43.89,LBM
50,LB,31.5,393,F,81.22,7,5,NA,5,11,6,17,9,3,12,10,6,16,3,4,7,6,1,7,53.4,LBF
51,LB,30.3,328,M,68.15,5,3,NA,3,11,9,20,12,1,13,12,6,18,5,NA,5,5,2,7,52.49,LBM
52,LB,31.4,410,F,73.37,6,6,NA,6,10,7,17,11,4,15,12,5,17,5,2,7,4,2,6,53.32,LBF
107,LB,28.4,296,F,64.83,7,3,NA,3,18,6,24,7,6,13,8,4,12,5,1,6,4,3,7,70.75,LBF
108,LB,28.0,303,M,65.02,8,4,NA,4,15,5,20,12,2,14,14,3,17,5,1,6,6,NA,6,48.22,LBM
109,LB,28.0,287,F,62.07,7,3,NA,3,15,6,21,9,4,13,14,1,15,5,2,7,3,3,6,47.35,LBF
110,LB,29.5,354,M,65.41,6,5,NA,5,17,7,24,8,4,12,NA,NA,NA,5,1,6,5,NA,5,58.78,LBM
111,LB,30.7,395,M,67.42,5,4,NA,4,15,8,23,9,4,13,7,4,11,2,3,5,5,3,8,44.5,LBM
112,LB,30.5,334,F,68.05,11,2,NA,2,18,3,21,10,6,16,13,3,16,5,3,8,6,3,9,61.92,LBF
113,LB,30.9,380,F,66.07,10,2,NA,2,12,6,18,7,6,13,10,3,13,5,2,7,5,3,8,49,LBF
114,LB,36.6,665,M,87.28,9,2,NA,2,13,4,17,11,2,13,12,4,16,3,2,5,NA,NA,NA,55.56,LBM
115,LB,32.3,453,M,63.3,7,4,NA,4,13,7,20,7,6,13,8,5,13,4,1,5,6,2,8,51.38,LBM
117,LB,29.5,337,F,79.93,8,5,1,6,14,8,22,5,7,12,11,4,15,5,1,6,7,3,10,59.2,LBF
118,LB,29.7,353,F,66.16,9,4,NA,4,12,6,18,12,4,16,10,5,15,NA,NA,NA,5,2,7,40.93,LBF
1,PL,16.5,54,M,38.5,9,5,NA,5,12,8,20,12,6,18,12,4,16,5,2,7,4,2,6,9.21,PLM
2,PL,17.0,57,M,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,18,5,2,7,5,2,7,-4.91,PLM
3,PL,17.0,61,M,NA,9,5,NA,5,NA,NA,NA,12,5,17,10,5,15,4,2,6,5,2,7,NA,PLM
4,PL,14.5,40,M,35.81,5,5,NA,5,13,3,16,8,6,14,10,7,17,4,3,7,4,3,7,16.31,PLM
5,PL,15.0,44,M,35.5,7,5,NA,5,NA,NA,NA,9,6,15,11,3,14,4,NA,4,5,2,7,5.14,PLM
6,PL,17.5,62,M,42.5,9,5,1,6,13,4,17,10,6,16,12,5,17,5,1,6,6,3,9,8.08,PLM
7,PL,18.0,74,M,43.4,10,5,NA,5,17,3,20,10,6,16,11,6,17,7,1,8,6,1,7,-8.53,PLM
8,PL,16.5,57,M,38.8,9,4,NA,4,10,8,18,11,6,17,12,3,15,NA,NA,NA,4,3,7,-2.03,PLM
53,PL,14.5,35,M,33.85,8,5,1,6,13,4,17,9,5,14,11,4,15,4,NA,4,6,NA,6,13.43,PLM
54,PL,15.6,49,M,37.82,8,6,NA,6,12,4,16,12,5,17,10,4,14,5,1,6,6,NA,6,13.79,PLM
55,PL,15.9,48,M,39.95,11,2,3,5,10,4,14,10,5,15,9,NA,9,5,2,7,5,1,6,15.46,PLM
56,PL,16.2,53,M,36.48,10,4,NA,4,15,2,17,13,3,16,14,3,17,6,NA,6,5,NA,5,10.77,PLM
57,PL,16.3,55,M,40.23,9,3,NA,3,10,4,14,12,1,13,12,5,17,4,1,5,4,1,5,5.31,PLM
58,PL,16.6,56,M,38.52,8,4,NA,4,13,4,17,13,2,15,12,3,15,5,NA,5,5,3,8,0.77,PLM
