id,morph,length_cm,weight_g,sex,head_length,bone,teeth_count
139,PI,30.8,356,M,78.42,Dentary,16
143,PI,30.7,315,F,64.64,Dentary,18
146,PI,28.6,274,M,74.53,Dentary,15
154,PI,25.2,161,F,57.92,Dentary,19
9,SB,12.5,22,F,32.16,Maxilla,14
10,SB,14,37,F,36.2,Maxilla,16
11,SB,16,23,F,28.7,Maxilla,14
14,SB,12.5,25,F,29.1,Maxilla,19
16,SB,12.5,23,F,31.03,Maxilla,17
17,SB,13,24,F,31.3,Maxilla,17
18,SB,14,37,F,36,Maxilla,16
19,SB,14.5,33,F,34.1,Maxilla,NA
22,SB,14.5,30,F,34.6,Maxilla,17
81,SB,12.2,23,F,29.59,Maxilla,16
82,SB,13.1,24,F,31.45,Maxilla,16
83,SB,14.5,33,M,38.55,Maxilla,17
84,SB,14,31,F,34.48,Maxilla,18
85,SB,15,42,M,39.03,Maxilla,24
86,SB,12.2,21,F,29.92,Maxilla,15
87,SB,13.8,28,F,35.3,Maxilla,NA
88,SB,14.5,36,F,37.49,Maxilla,16
89,SB,17.2,48,F,44.14,Maxilla,21
96,SB,9.6,10,M,24.62,Maxilla,15
97,SB,9.9,12,F,25.9,Maxilla,16
100,SB,13.5,29,M,36.35,Maxilla,16
163,SB,11,16,M,29.2,Maxilla,16
169,SB,15.6,44,F,43.23,Maxilla,15
170,SB,14,38,F,32.85,Maxilla,19
171,SB,16,46,F,38.14,Maxilla,19
172,SB,16.3,49,F,38.9,Maxilla,18
179,SB,16.5,54,F,40.97,Maxilla,22
180,SB,14.8,45,M,39.5,Maxilla,22
182,SB,10.8,14,M,26.84,Maxilla,16
183,SB,12,18,F,26.91,Maxilla,14
184,SB,11.2,15,F,26.33,Maxilla,18
187,SB,11.8,20,F,30.05,Maxilla,14
189,SB,15.6,43,F,39.22,Maxilla,18
31,LB,28.5,322,F,67.41,Maxilla,16
32,LB,25,188,M,55.51,Maxilla,23
33,LB,18.5,68,F,45.85,Maxilla,16
34,LB,24,147,F,52.46,Maxilla,22
35,LB,36,605,F,80.5,Maxilla,17
36,LB,30.5,323,F,71.55,Maxilla,20
37,LB,29,288,M,63.91,Maxilla,18
38,LB,26,218,F,59.39,Maxilla,23
39,LB,27,251,F,62.29,Maxilla,18
40,LB,30,385,F,67.74,Maxilla,21
41,LB,26.5,211,F,66.01,Maxilla,20
42,LB,30.5,378,M,71.66,Maxilla,21
43,LB,21,113,M,43.88,Maxilla,19
44,LB,23.3,156,M,53.87,Maxilla,15
45,LB,26.5,237,M,60.01,Maxilla,23
47,LB,28.6,267,M,58.36,Maxilla,20
48,LB,29.6,320,M,69.74,Maxilla,21
49,LB,29.4,319,M,69.29,Maxilla,23
50,LB,31.5,393,F,81.22,Maxilla,17
51,LB,30.3,328,M,68.15,Maxilla,20
52,LB,31.4,410,F,73.37,Maxilla,17
107,LB,28.4,296,F,64.83,Maxilla,24
108,LB,28,303,M,65.02,Maxilla,20
109,LB,28,287,F,62.07,Maxilla,21
110,LB,29.5,354,M,65.41,Maxilla,24
111,LB,30.7,395,M,67.42,Maxilla,23
112,LB,30.5,334,F,68.05,Maxilla,21
113,LB,30.9,380,F,66.07,Maxilla,18
114,LB,36.6,665,M,87.28,Maxilla,17
115,LB,32.3,453,M,63.3,Maxilla,20
117,LB,29.5,337,F,79.93,Maxilla,22
118,LB,29.7,353,F,66.16,Maxilla,18
1,PL,16.5,54,M,38.5,Maxilla,20
2,PL,17,57,M,39.5,Maxilla,NA
3,PL,17,61,M,NA,Maxilla,NA
4,PL,14.5,40,M,35.81,Maxilla,16
5,PL,15,44,M,35.5,Maxilla,NA
6,PL,17.5,62,M,42.5,Maxilla,17
7,PL,18,74,M,43.4,Maxilla,20
8,PL,16.5,57,M,38.8,Maxilla,18
53,PL,14.5,35,M,33.85,Maxilla,17
54,PL,15.6,49,M,37.82,Maxilla,16
55,PL,15.9,48,M,39.95,Maxilla,14
56,PL,16.2,53,M,36.48,Maxilla,17
57,PL,16.3,55,M,40.23,Maxilla,14
58,PL,16.6,56,M,38.52,Maxilla,17
59,PL,15.8,49,M,39.84,Maxilla,15
60,PL,18.9,77,M,44.42,Maxilla,18
61,PL,18.8,82,M,46.22,Maxilla,17
62,PL,14.4,40,M,33.83,Maxilla,13
90,PL,17.5,64,M,39.73,Maxilla,17
91,PL,17.1,63,M,39.01,Maxilla,16
92,PL,16.3,55,M,43.52,Maxilla,18
93,PL,16.5,61,M,41.08,Maxilla,17
192,PL,15.5,40,F,31.36,Maxilla,15
194,PL,16,42,M,38.57,Maxilla,19
195,PL,15.8,44,M,38.57,Maxilla,18
196,PL,16.3,45,F,36.51,Maxilla,16
197,PL,19.3,70,M,42.18,Maxilla,19
198,PL,19.2,77,M,44.96,Maxilla,22
199,PL,17.7,53,F,37.28,Maxilla,20
200,PL,18.3,54,F,43.18,Maxilla,18
201,PL,19.6,77,F,45.23,Maxilla,17
202,PL,20.8,96,M,45.12,Maxilla,22
203,PL,15.8,50,M,35.98,Maxilla,19
204,PL,16.2,57,M,37.99,Maxilla,19
205,PL,16.5,48,M,39.07,Maxilla,16
206,PL,18,69,M,41.86,Maxilla,16
207,PL,19.8,88,M,48.17,Maxilla,17
24,PI,23.6,145,M,55.69,Maxilla,19
25,PI,31.5,414,F,67.3,Maxilla,18
26,PI,24.5,205,M,57.82,Maxilla,22
27,PI,37.5,727,M,103.21,Maxilla,19
28,PI,36,547,M,82.82,Maxilla,20
29,PI,40,845,F,92.32,Maxilla,16
30,PI,33.5,560,M,82.35,Maxilla,18
63,PI,25.3,188,M,60.75,Maxilla,22
65,PI,29,265,F,68.49,Maxilla,20
66,PI,27.8,251,F,64.69,Maxilla,20
67,PI,28.5,250,M,68,Maxilla,19
68,PI,27.7,268,M,66.97,Maxilla,18
69,PI,28.2,250,M,66.73,Maxilla,17
72,PI,30,354,M,78.04,Maxilla,14
94,PI,50.3,1624,M,125.4,Maxilla,18
95,PI,59.4,3626,M,151.2,Maxilla,19
103,PI,32.5,439,F,75.43,Maxilla,17
104,PI,35.7,527,M,81.41,Maxilla,17
105,PI,35.3,683,M,83.97,Maxilla,17
106,PI,50.6,1576,M,140.39,Maxilla,24
119,PI,21.7,111,F,52.39,Maxilla,20
120,PI,22,114,M,48.66,Maxilla,19
121,PI,23.4,118,F,50.55,Maxilla,20
122,PI,24.2,147,F,55.59,Maxilla,17
123,PI,18.7,69,M,45.83,Maxilla,20
124,PI,20.9,102,M,48.11,Maxilla,18
125,PI,17.5,51,M,44.09,Maxilla,22
126,PI,21.5,99,F,45.41,Maxilla,17
127,PI,23,117,M,52.08,Maxilla,21
128,PI,24,151,F,50.03,Maxilla,19
129,PI,26.5,212,F,57.85,Maxilla,21
133,PI,22.6,138,M,53.32,Maxilla,20
139,PI,30.8,356,M,78.42,Maxilla,23
143,PI,30.7,315,F,64.64,Maxilla,13
146,PI,28.6,274,M,74.53,Maxilla,22
154,PI,25.2,161,F,57.92,Maxilla,19
9,SB,12.5,22,F,32.16,Premaxilla,6
10,SB,14,37,F,36.2,Premaxilla,7
11,SB,16,23,F,28.7,Premaxilla,6
14,SB,12.5,25,F,29.1,Premaxilla,5
16,SB,12.5,23,F,31.03,Premaxilla,9
17,SB,13,24,F,31.3,Premaxilla,7
18,SB,14,37,F,36,Premaxilla,6
19,SB,14.5,33,F,34.1,Premaxilla,9
22,SB,14.5,30,F,34.6,Premaxilla,8
81,SB,12.2,23,F,29.59,Premaxilla,7
82,SB,13.1,24,F,31.45,Premaxilla,7
83,SB,14.5,33,M,38.55,Premaxilla,8
84,SB,14,31,F,34.48,Premaxilla,7
85,SB,15,42,M,39.03,Premaxilla,NA
86,SB,12.2,21,F,29.92,Premaxilla,6
87,SB,13.8,28,F,35.3,Premaxilla,9
88,SB,14.5,36,F,37.49,Premaxilla,8
89,SB,17.2,48,F,44.14,Premaxilla,NA
96,SB,9.6,10,M,24.62,Premaxilla,NA
97,SB,9.9,12,F,25.9,Premaxilla,7
100,SB,13.5,29,M,36.35,Premaxilla,5
163,SB,11,16,M,29.2,Premaxilla,8
169,SB,15.6,44,F,43.23,Premaxilla,8
170,SB,14,38,F,32.85,Premaxilla,9
171,SB,16,46,F,38.14,Premaxilla,9
172,SB,16.3,49,F,38.9,Premaxilla,6
179,SB,16.5,54,F,40.97,Premaxilla,9
180,SB,14.8,45,M,39.5,Premaxilla,6
182,SB,10.8,14,M,26.84,Premaxilla,8
183,SB,12,18,F,26.91,Premaxilla,8
184,SB,11.2,15,F,26.33,Premaxilla,8
187,SB,11.8,20,F,30.05,Premaxilla,8
189,SB,15.6,43,F,39.22,Premaxilla,NA
31,LB,28.5,322,F,67.41,Premaxilla,8
32,LB,25,188,M,55.51,Premaxilla,7
33,LB,18.5,68,F,45.85,Premaxilla,7
34,LB,24,147,F,52.46,Premaxilla,7
35,LB,36,605,F,80.5,Premaxilla,6
36,LB,30.5,323,F,71.55,Premaxilla,7
37,LB,29,288,M,63.91,Premaxilla,7
38,LB,26,218,F,59.39,Premaxilla,7
39,LB,27,251,F,62.29,Premaxilla,8
40,LB,30,385,F,67.74,Premaxilla,7
41,LB,26.5,211,F,66.01,Premaxilla,6
42,LB,30.5,378,M,71.66,Premaxilla,7
43,LB,21,113,M,43.88,Premaxilla,NA
44,LB,23.3,156,M,53.87,Premaxilla,5
45,LB,26.5,237,M,60.01,Premaxilla,7
47,LB,28.6,267,M,58.36,Premaxilla,5
48,LB,29.6,320,M,69.74,Premaxilla,7
49,LB,29.4,319,M,69.29,Premaxilla,6
50,LB,31.5,393,F,81.22,Premaxilla,7
51,LB,30.3,328,M,68.15,Premaxilla,7
52,LB,31.4,410,F,73.37,Premaxilla,6
107,LB,28.4,296,F,64.83,Premaxilla,7
108,LB,28,303,M,65.02,Premaxilla,6
109,LB,28,287,F,62.07,Premaxilla,6
110,LB,29.5,354,M,65.41,Premaxilla,5
111,LB,30.7,395,M,67.42,Premaxilla,8
112,LB,30.5,334,F,68.05,Premaxilla,9
113,LB,30.9,380,F,66.07,Premaxilla,8
114,LB,36.6,665,M,87.28,Premaxilla,NA
115,LB,32.3,453,M,63.3,Premaxilla,8
117,LB,29.5,337,F,79.93,Premaxilla,10
118,LB,29.7,353,F,66.16,Premaxilla,7
1,PL,16.5,54,M,38.5,Premaxilla,6
2,PL,17,57,M,39.5,Premaxilla,7
3,PL,17,61,M,NA,Premaxilla,7
4,PL,14.5,40,M,35.81,Premaxilla,7
5,PL,15,44,M,35.5,Premaxilla,7
6,PL,17.5,62,M,42.5,Premaxilla,9
7,PL,18,74,M,43.4,Premaxilla,7
