id,morph,length_cm,weight_g,sex,head_length,bone,teeth_count
97,SB,9.9,12,F,25.9,Vomer,5
100,SB,13.5,29,M,36.35,Vomer,8
163,SB,11,16,M,29.2,Vomer,4
169,SB,15.6,44,F,43.23,Vomer,5
170,SB,14,38,F,32.85,Vomer,6
171,SB,16,46,F,38.14,Vomer,9
172,SB,16.3,49,F,38.9,Vomer,5
179,SB,16.5,54,F,40.97,Vomer,5
180,SB,14.8,45,M,39.5,Vomer,6
182,SB,10.8,14,M,26.84,Vomer,5
183,SB,12,18,F,26.91,Vomer,6
184,SB,11.2,15,F,26.33,Vomer,5
187,SB,11.8,20,F,30.05,Vomer,NA
189,SB,15.6,43,F,39.22,Vomer,7
31,LB,28.5,322,F,67.41,Vomer,6
32,LB,25,188,M,55.51,Vomer,4
33,LB,18.5,68,F,45.85,Vomer,7
34,LB,24,147,F,52.46,Vomer,4
35,LB,36,605,F,80.5,Vomer,6
36,LB,30.5,323,F,71.55,Vomer,6
37,LB,29,288,M,63.91,Vomer,6
38,LB,26,218,F,59.39,Vomer,8
39,LB,27,251,F,62.29,Vomer,6
40,LB,30,385,F,67.74,Vomer,7
41,LB,26.5,211,F,66.01,Vomer,6
42,LB,30.5,378,M,71.66,Vomer,5
43,LB,21,113,M,43.88,Vomer,5
44,LB,23.3,156,M,53.87,Vomer,3
45,LB,26.5,237,M,60.01,Vomer,6
47,LB,28.6,267,M,58.36,Vomer,6
48,LB,29.6,320,M,69.74,Vomer,NA
49,LB,29.4,319,M,69.29,Vomer,7
50,LB,31.5,393,F,81.22,Vomer,7
51,LB,30.3,328,M,68.15,Vomer,5
52,LB,31.4,410,F,73.37,Vomer,7
107,LB,28.4,296,F,64.83,Vomer,6
108,LB,28,303,M,65.02,Vomer,6
109,LB,28,287,F,62.07,Vomer,7
110,LB,29.5,354,M,65.41,Vomer,6
111,LB,30.7,395,M,67.42,Vomer,5
112,LB,30.5,334,F,68.05,Vomer,8
113,LB,30.9,380,F,66.07,Vomer,7
114,LB,36.6,665,M,87.28,Vomer,5
115,LB,32.3,453,M,63.3,Vomer,5
117,LB,29.5,337,F,79.93,Vomer,6
118,LB,29.7,353,F,66.16,Vomer,NA
1,PL,16.5,54,M,38.5,Vomer,7
2,PL,17,57,M,39.5,Vomer,7
3,PL,17,61,M,NA,Vomer,6
4,PL,14.5,40,M,35.81,Vomer,7
5,PL,15,44,M,35.5,Vomer,4
6,PL,17.5,62,M,42.5,Vomer,6
7,PL,18,74,M,43.4,Vomer,8
8,PL,16.5,57,M,38.8,Vomer,NA
53,PL,14.5,35,M,33.85,Vomer,4
54,PL,15.6,49,M,37.82,Vomer,6
55,PL,15.9,48,M,39.95,Vomer,7
56,PL,16.2,53,M,36.48,Vomer,6
57,PL,16.3,55,M,40.23,Vomer,5
58,PL,16.6,56,M,38.52,Vomer,5
59,PL,15.8,49,M,39.84,Vomer,3
60,PL,18.9,77,M,44.42,Vomer,8
61,PL,18.8,82,M,46.22,Vomer,6
62,PL,14.4,40,M,33.83,Vomer,7
90,PL,17.5,64,M,39.73,Vomer,6
91,PL,17.1,63,M,39.01,Vomer,5
92,PL,16.3,55,M,43.52,Vomer,7
93,PL,16.5,61,M,41.08,Vomer,5
192,PL,15.5,40,F,31.36,Vomer,4
194,PL,16,42,M,38.57,Vomer,5
195,PL,15.8,44,M,38.57,Vomer,6
196,PL,16.3,45,F,36.51,Vomer,7
197,PL,19.3,70,M,42.18,Vomer,7
198,PL,19.2,77,M,44.96,Vomer,7
199,PL,17.7,53,F,37.28,Vomer,6
200,PL,18.3,54,F,43.18,Vomer,3
201,PL,19.6,77,F,45.23,Vomer,6
202,PL,20.8,96,M,45.12,Vomer,7
203,PL,15.8,50,M,35.98,Vomer,6
204,PL,16.2,57,M,37.99,Vomer,6
205,PL,16.5,48,M,39.07,Vomer,6
206,PL,18,69,M,41.86,Vomer,6
207,PL,19.8,88,M,48.17,Vomer,8
24,PI,23.6,145,M,55.69,Vomer,7
25,PI,31.5,414,F,67.3,Vomer,5
26,PI,24.5,205,M,57.82,Vomer,8
27,PI,37.5,727,M,103.21,Vomer,6
28,PI,36,547,M,82.82,Vomer,5
29,PI,40,845,F,92.32,Vomer,8
30,PI,33.5,560,M,82.35,Vomer,6
63,PI,25.3,188,M,60.75,Vomer,7
65,PI,29,265,F,68.49,Vomer,5
66,PI,27.8,251,F,64.69,Vomer,7
67,PI,28.5,250,M,68,Vomer,7
68,PI,27.7,268,M,66.97,Vomer,4
69,PI,28.2,250,M,66.73,Vomer,8
72,PI,30,354,M,78.04,Vomer,6
94,PI,50.3,1624,M,125.4,Vomer,8
95,PI,59.4,3626,M,151.2,Vomer,6
103,PI,32.5,439,F,75.43,Vomer,8
104,PI,35.7,527,M,81.41,Vomer,6
105,PI,35.3,683,M,83.97,Vomer,9
106,PI,50.6,1576,M,140.39,Vomer,8
119,PI,21.7,111,F,52.39,Vomer,9
120,PI,22,114,M,48.66,Vomer,NA
121,PI,23.4,118,F,50.55,Vomer,5
122,PI,24.2,147,F,55.59,Vomer,5
123,PI,18.7,69,M,45.83,Vomer,4
124,PI,20.9,102,M,48.11,Vomer,6
125,PI,17.5,51,M,44.09,Vomer,5
126,PI,21.5,99,F,45.41,Vomer,8
127,PI,23,117,M,52.08,Vomer,6
128,PI,24,151,F,50.03,Vomer,6
129,PI,26.5,212,F,57.85,Vomer,6
133,PI,22.6,138,M,53.32,Vomer,9
139,PI,30.8,356,M,78.42,Vomer,6
143,PI,30.7,315,F,64.64,Vomer,7
146,PI,28.6,274,M,74.53,Vomer,NA
154,PI,25.2,161,F,57.92,Vomer,NA
9,SB,12.5,22,F,32.16,Glossohyal,4
10,SB,14,37,F,36.2,Glossohyal,3
11,SB,16,23,F,28.7,Glossohyal,4
14,SB,12.5,25,F,29.1,Glossohyal,5
16,SB,12.5,23,F,31.03,Glossohyal,8
17,SB,13,24,F,31.3,Glossohyal,7
18,SB,14,37,F,36,Glossohyal,5
19,SB,14.5,33,F,34.1,Glossohyal,5
22,SB,14.5,30,F,34.6,Glossohyal,5
81,SB,12.2,23,F,29.59,Glossohyal,5
82,SB,13.1,24,F,31.45,Glossohyal,3
83,SB,14.5,33,M,38.55,Glossohyal,5
84,SB,14,31,F,34.48,Glossohyal,4
85,SB,15,42,M,39.03,Glossohyal,4
86,SB,12.2,21,F,29.92,Glossohyal,5
87,SB,13.8,28,F,35.3,Glossohyal,2
88,SB,14.5,36,F,37.49,Glossohyal,7
89,SB,17.2,48,F,44.14,Glossohyal,5
96,SB,9.6,10,M,24.62,Glossohyal,1
97,SB,9.9,12,F,25.9,Glossohyal,3
100,SB,13.5,29,M,36.35,Glossohyal,3
163,SB,11,16,M,29.2,Glossohyal,3
169,SB,15.6,44,F,43.23,Glossohyal,8
170,SB,14,38,F,32.85,Glossohyal,3
171,SB,16,46,F,38.14,Glossohyal,5
172,SB,16.3,49,F,38.9,Glossohyal,4
179,SB,16.5,54,F,40.97,Glossohyal,4
180,SB,14.8,45,M,39.5,Glossohyal,5
182,SB,10.8,14,M,26.84,Glossohyal,4
183,SB,12,18,F,26.91,Glossohyal,8
184,SB,11.2,15,F,26.33,Glossohyal,5
187,SB,11.8,20,F,30.05,Glossohyal,NA
189,SB,15.6,43,F,39.22,Glossohyal,3
31,LB,28.5,322,F,67.41,Glossohyal,3
32,LB,25,188,M,55.51,Glossohyal,2
33,LB,18.5,68,F,45.85,Glossohyal,NA
34,LB,24,147,F,52.46,Glossohyal,6
35,LB,36,605,F,80.5,Glossohyal,5
36,LB,30.5,323,F,71.55,Glossohyal,3
37,LB,29,288,M,63.91,Glossohyal,4
38,LB,26,218,F,59.39,Glossohyal,3
39,LB,27,251,F,62.29,Glossohyal,2
40,LB,30,385,F,67.74,Glossohyal,5
41,LB,26.5,211,F,66.01,Glossohyal,5
42,LB,30.5,378,M,71.66,Glossohyal,4
43,LB,21,113,M,43.88,Glossohyal,6
44,LB,23.3,156,M,53.87,Glossohyal,2
45,LB,26.5,237,M,60.01,Glossohyal,6
47,LB,28.6,267,M,58.36,Glossohyal,5
48,LB,29.6,320,M,69.74,Glossohyal,5
49,LB,29.4,319,M,69.29,Glossohyal,4
50,LB,31.5,393,F,81.22,Glossohyal,5
51,LB,30.3,328,M,68.15,Glossohyal,3
52,LB,31.4,410,F,73.37,Glossohyal,6
107,LB,28.4,296,F,64.83,Glossohyal,3
108,LB,28,303,M,65.02,Glossohyal,4
109,LB,28,287,F,62.07,Glossohyal,3
110,LB,29.5,354,M,65.41,Glossohyal,5
111,LB,30.7,395,M,67.42,Glossohyal,4
112,LB,30.5,334,F,68.05,Glossohyal,2
113,LB,30.9,380,F,66.07,Glossohyal,2
114,LB,36.6,665,M,87.28,Glossohyal,2
115,LB,32.3,453,M,63.3,Glossohyal,4
117,LB,29.5,337,F,79.93,Glossohyal,6
118,LB,29.7,353,F,66.16,Glossohyal,4
1,PL,16.5,54,M,38.5,Glossohyal,5
2,PL,17,57,M,39.5,Glossohyal,NA
3,PL,17,61,M,NA,Glossohyal,5
4,PL,14.5,40,M,35.81,Glossohyal,5
5,PL,15,44,M,35.5,Glossohyal,5
6,PL,17.5,62,M,42.5,Glossohyal,6
7,PL,18,74,M,43.4,Glossohyal,5
8,PL,16.5,57,M,38.8,Glossohyal,4
53,PL,14.5,35,M,33.85,Glossohyal,6
54,PL,15.6,49,M,37.82,Glossohyal,6
55,PL,15.9,48,M,39.95,Glossohyal,5
56,PL,16.2,53,M,36.48,Glossohyal,4
57,PL,16.3,55,M,40.23,Glossohyal,3
58,PL,16.6,56,M,38.52,Glossohyal,4
59,PL,15.8,49,M,39.84,Glossohyal,4
60,PL,18.9,77,M,44.42,Glossohyal,3
61,PL,18.8,82,M,46.22,Glossohyal,4
62,PL,14.4,40,M,33.83,Glossohyal,6
90,PL,17.5,64,M,39.73,Glossohyal,5
91,PL,17.1,63,M,39.01,Glossohyal,5
92,PL,16.3,55,M,43.52,Glossohyal,6
93,PL,16.5,61,M,41.08,Glossohyal,4
192,PL,15.5,40,F,31.36,Glossohyal,4
194,PL,16,42,M,38.57,Glossohyal,7
195,PL,15.8,44,M,38.57,Glossohyal,3
196,PL,16.3,45,F,36.51,Glossohyal,2
197,PL,19.3,70,M,42.18,Glossohyal,4
198,PL,19.2,77,M,44.96,Glossohyal,2
199,PL,17.7,53,F,37.28,Glossohyal,5
200,PL,18.3,54,F,43.18,Glossohyal,4
201,PL,19.6,77,F,45.23,Glossohyal,4
202,PL,20.8,96,M,45.12,Glossohyal,4
203,PL,15.8,50,M,35.98,Glossohyal,6
204,PL,16.2,57,M,37.99,Glossohyal,5
205,PL,16.5,48,M,39.07,Glossohyal,3
206,PL,18,69,M,41.86,Glossohyal,6
207,PL,19.8,88,M,48.17,Glossohyal,2
24,PI,23.6,145,M,55.69,Glossohyal,1
25,PI,31.5,414,F,67.3,Glossohyal,7
26,PI,24.5,205,M,57.82,Glossohyal,7
27,PI,37.5,727,M,103.21,Glossohyal,3
28,PI,36,547,M,82.82,Glossohyal,NA
29,PI,40,845,F,92.32,Glossohyal,8
30,PI,33.5,560,M,82.35,Glossohyal,4
63,PI,25.3,188,M,60.75,Glossohyal,5
65,PI,29,265,F,68.49,Glossohyal,6
66,PI,27.8,251,F,64.69,Glossohyal,6
67,PI,28.5,250,M,68,Glossohyal,4
68,PI,27.7,268,M,66.97,Glossohyal,4
69,PI,28.2,250,M,66.73,Glossohyal,6
72,PI,30,354,M,78.04,Glossohyal,NA
94,PI,50.3,1624,M,125.4,Glossohyal,1
95,PI,59.4,3626,M,151.2,Glossohyal,1
103,PI,32.5,439,F,75.43,Glossohyal,5
104,PI,35.7,527,M,81.41,Glossohyal,4
105,PI,35.3,683,M,83.97,Glossohyal,2
106,PI,50.6,1576,M,140.39,Glossohyal,2
119,PI,21.7,111,F,52.39,Glossohyal,3
120,PI,22,114,M,48.66,Glossohyal,6
121,PI,23.4,118,F,50.55,Glossohyal,7
122,PI,24.2,147,F,55.59,Glossohyal,6
123,PI,18.7,69,M,45.83,Glossohyal,4
124,PI,20.9,102,M,48.11,Glossohyal,4
125,PI,17.5,51,M,44.09,Glossohyal,5
126,PI,21.5,99,F,45.41,Glossohyal,8
127,PI,23,117,M,52.08,Glossohyal,2
128,PI,24,151,F,50.03,Glossohyal,7
129,PI,26.5,212,F,57.85,Glossohyal,6
133,PI,22.6,138,M,53.32,Glossohyal,6
139,PI,30.8,356,M,78.42,Glossohyal,4
143,PI,30.7,315,F,64.64,Glossohyal,4
146,PI,28.6,274,M,74.53,Glossohyal,5
154,PI,25.2,161,F,57.92,Glossohyal,4
