id_me;morph;length_cm;weight_g;sex;age;top_left_1;side_left_1;angle_left_1;top_right_1;side_right_1;angle_right_1;side_left_5;top_left_5;angle_left_5;side_right_5;top_right_5;angle_right_5;morph_sex
PC4356;PL;21,4;74,03;M;;0,13;0,2;33,02386756;0,08;0,18;23,96248897;0,16;0,08;26,56505118;0,14;0,08;29,7448813;PL_M
PC4357;PL;21,8;89,24;F;;0,15;0,14;46,97493401;0,15;0,14;46,97493401;0,17;0,14;39,47245985;0,15;0,15;45;PL_F
PC4358;PL;21;70,3;F;;0,16;0,11;55,49147701;0,14;0,16;41,18592517;0,2;0,07;19,29004622;0,2;0,05;14,03624347;PL_F
PC4359;PL;22,4;101,1;F;;0,16;0,13;50,90614111;0,17;0,23;36,46923439;0,13;0,14;47,1210964;0,13;0,15;49,08561678;PL_F
PC4360;PL;23,2;91,75;F;;0,13;0,16;39,09385889;0,2;0,1;63,43494882;0,14;0,1;35,53767779;0,09;0,13;55,30484647;PL_F
PC4361;PL;21,4;80,68;F;;0,09;0,13;34,69515353;0,16;0,17;43,26429541;0,14;0,06;23,19859051;0,15;0,1;33,69006753;PL_F
PC4363;PL;18,2;41,6;F;;0,1;0,18;29,0546041;0,13;0,17;37,40535663;0,16;0,05;17,35402464;0,16;0,09;29,35775354;PL_F
PC4364;PL;20,4;62,64;F;;0,16;0,12;53,13010235;0,11;0,12;42,51044708;0,14;0,12;40,60129465;0,11;0,13;49,76364169;PL_F
PC4365;PL;24;109,96;F;;0,15;0,15;45;0,11;0,2;28,81079374;0,14;0,12;40,60129465;0,17;0,08;25,20112365;PL_F
PC4366;PL;15,8;27,36;M;;0,02;0,22;5,194428908;0,04;0,22;10,30484647;0,23;0,03;7,431407971;0,23;0,09;21,37062227;PL_M
PC4367;PL;19,2;57,5;F;;0,09;0,17;27,89727103;0,15;0,16;43,15238973;0,13;0,06;24,77514057;0,14;0,14;45;PL_F
PC4368;PL;20;55,21;F;;0,11;0,14;38,15722659;0,12;0,14;40,60129465;0,15;0,09;30,96375653;0,17;0,12;35,21759297;PL_F
PC4369;PL;18,2;49,95;F;;0,1;0,09;48,0127875;0,1;0,06;59,03624347;0,08;0,09;48,36646066;0,08;0,11;53,97262661;PL_F
PC4372;PI;45,4;1030;M;;0,57;0,78;36,15818544;0,58;0,9;32,79953127;0,52;0,69;52,99747347;0,69;0,7;45,41219274;PI_M
PC4373;LB;37,6;730;F;;0,4;0,25;57,99461679;0,31;0,25;51,11550357;0,23;0,35;56,68936918;0,34;0,35;45,83031549;LB_F
PC4374;PI;37,6;500;F;;0,39;0,46;40,29214776;0,33;0,44;36,86989765;0,34;0,51;56,30993247;0,24;0,48;63,43494882;PI_F
PC4375;LB;52,8;1500;F;;0,53;0,35;56,56013079;0,53;0,55;43,93908831;0,43;0,66;56,91514707;0,54;0,59;47,53355889;LB_F
PC4376;LB;40,4;765;F;;0,37;0,35;46,59114027;0,33;0,36;42,51044708;0,37;0,56;56,54669055;0,43;0,45;46,30195267;LB_F
PC4377;PI;52,4;1505;M;;0,58;0,67;40,8818103;0,57;0,57;45;0,68;0,64;43,26429541;0,5;0,41;39,35175263;PI_M
PC4378;PI;41,2;680;M;;0,32;0,45;35,41705528;0,34;0,5;34,21570213;0,51;0,37;35,9605172;0,48;0,39;39,09385889;PI_M
PC4379;LB;46,2;1315;M;;0,46;0,34;53,53076561;0,57;0,4;54,94057303;0,43;0,51;49,86451444;0,6;0,52;40,91438322;LB_M
PC4380;PI;46;1255;M;;0,48;0,51;43,26429541;0,38;0,38;45;0,56;0,42;36,86989765;0,56;0,51;42,32457334;PI_M
PC4381;PI;36;525;M;;0,52;0,75;34,73485954;0,49;0,46;46,80873932;0,66;0,36;28,61045967;0,7;0,52;36,60707481;PI_M
PC4382;PI;44,2;940;M;;0,47;0,54;41,03534528;0,53;0,71;36,74056202;0,66;0,66;45;0,6;0,52;40,91438322;PI_M
PC4383;PI;34,6;375;M;;0,32;0,52;31,60750225;0,39;0,49;38,51692631;0,36;0,3;39,80557109;0,46;0,45;44,37040139;PI_M
PC4384;PI;43,8;995;F;;0,49;0,56;41,18592517;0,42;0,45;43,02506599;0,38;0,44;49,18491613;0,36;0,54;56,30993247;PI_F
PC4385;PI;36,4;380;M;;0,41;0,53;37,72499504;0,35;0,59;30,67728002;0,39;0,44;48,44738685;0,52;0,36;34,69515353;PI_M
PC4386;PI;36,6;435;M;;0,34;0,46;36,46923439;0,34;0,42;38,99099404;0,45;0,22;26,05349531;0,43;0,29;33,99645915;PI_M
PC4387;LB;40,6;750;M;;0,41;0,45;42,33699923;0,41;0,35;49,51398846;0,36;0,37;45,7848246;0,36;0,34;43,36342296;LB_M
PC4388;LB;38;615;M;;0,33;0,26;51,76617482;0,39;0,46;40,29214776;0,16;0,37;66,61477894;0,38;0,36;43,4518423;LB_M
PC4389;PI;42;725;M;;0,4;0,69;30,10130457;0,45;0,65;34,69515353;0,58;0,57;44,50178839;0,6;0,56;43,02506599;PI_M
PC4390;PI;37,8;485;M;;0,34;0,63;28,35496179;0,34;0,68;26,56505118;0,58;0,32;28,88658177;0,44;0,35;38,50065372;PI_M
PC4391;PL;23,6;100;F;;0,18;0,15;50,19442891;0,11;0,14;38,15722659;0,09;0,16;60,64224646;0,17;0,08;25,20112365;PL_F
PC4392;PI;30,2;235;F;;0,23;0,32;35,7066914;0,37;0,43;40,71084667;0,29;0,28;43,99491399;0,33;0,31;43,21008939;PI_F
PC4393;PI;36,7;575;M;;0,4;0,38;46,46880071;0,44;0,41;47,02136494;0,2;0,43;65,05609474;0,29;0,34;49,53777251;PI_M
