id_me;morph;length_cm;weight_g;sex;age;top_left_1;side_left_1;angle_left_1;top_right_1;side_right_1;angle_right_1;side_left_5;top_left_5;angle_left_5;side_right_5;top_right_5;angle_right_5;morph_sex
PC3914;SB;15,9;45,37;F;;0,21;0,15;54,46232221;0,19;0,18;46,5481577;0,15;0,18;50,19442891;0,17;0,16;43,26429541;SB_F
PC3915;SB;13,7;26,47;M;;0,16;0,13;50,90614111;0,19;0,14;53,61564818;0,15;0,17;48,57633437;0,12;0,17;54,78240703;SB_M
PC3916;SB;13,9;27,19;M;;0,22;0,17;52,30575953;0,16;0,12;53,13010235;0,23;0,22;43,72696998;0,14;0,14;45;SB_M
PC3917;SB;14,7;35,24;M;;0,22;0,13;59,42077313;0,2;0,21;43,60281897;0,19;0,22;49,18491613;0,16;0,17;46,73570459;SB_M
PC3918;SB;14,8;35,5;M;;0,23;0,12;62,44718842;0,19;0,13;55,61965528;0,18;0,21;49,39870535;0,16;0,19;49,89909245;SB_M
PC3919;SB;14,5;31,49;F;;0,19;0,13;55,61965528;0,19;0,09;64,65382406;0,13;0,17;52,59464337;0,12;0,15;51,34019175;SB_F
PC3921;SB;11,2;16;F;;0,13;0,13;45;0,22;0,14;57,52880771;0,1;0,1;45;0,11;0,11;45;SB_F
PC3922;SB;14,8;21,2;M;;0,21;0,11;62,35402464;0,16;0,11;55,49147701;0,18;0,19;46,5481577;0,19;0,14;36,38435182;SB_M
PC3923;SB;13,9;27,7;M;;0,1;0,16;32,00538321;0,15;0,15;45;0,1;0,21;64,53665494;0,12;0,22;61,38954033;SB_M
PC3924;SB;13,6;26,44;M;;0,22;0,17;52,30575953;0,14;0,09;57,26477373;0,15;0,14;43,02506599;0,2;0,16;38,65980825;SB_M
PC3925;SB;14,8;31,05;F;;0,18;0,13;54,16234705;0,19;0,15;51,70983681;0,18;0,21;49,39870535;0,15;0,17;48,57633437;SB_F
PC3926;SB;13,7;25,66;M;;0,21;0,21;45;0,23;0,2;48,9909131;0,16;0,19;49,89909245;0,11;0,18;58,57043439;SB_M
PC3927;SB;13,3;28,1;M;;0,26;0,22;49,76364169;0,21;0,14;56,30993247;0,15;0,16;46,84761027;0,12;0,12;45;SB_M
PC3929;SB;13,3;26,92;M;;0,26;0,19;53,84181456;0,19;0,2;43,53119929;0,19;0,22;49,18491613;0,16;0,16;45;SB_M
PC3931;SB;11,8;16,33;F;;0,14;0,11;51,84277341;0,13;0,05;68,96248897;0,13;0,13;45;0,12;0,13;47,29061004;SB_F
PC3934;SB;11,1;14,32;M;;0,14;0,1;54,46232221;0,15;0,11;53,74616226;0,09;0,13;55,30484647;0,1;0,14;54,46232221;SB_M
PC3935;SB;10,4;11,87;M;;0,17;0,1;59,53445508;0,11;0,11;45;0,14;0,11;38,15722659;0,11;0,11;45;SB_M
PC4200;PL;12,3;22,18;M;;0,07;0,13;28,30075577;0,05;0,12;22,61986495;0,08;0,03;20,55604522;0,13;0,06;24,77514057;PL_M
PC4201;PL;14;29,18;M;;0,1;0,15;33,69006753;0,1;0,12;39,80557109;0,13;0,14;47,1210964;0,15;0,11;36,25383774;PL_M
PC4202;PL;13,7;31,74;M;;0,07;0,15;25,01689348;0,03;0,14;12,09475708;0,12;0,09;36,86989765;0,13;0,03;12,99461679;PL_M
PC4203;PL;15;38,61;M;;0,06;0,17;19,44003483;0,07;0,16;23,62937773;0,15;0,08;28,07248694;0,16;0,1;32,00538321;PL_M
PC4204;PL;13,4;26,01;M;;0,14;0,13;47,1210964;0,11;0,12;42,51044708;0,12;0,1;39,80557109;0,13;0,14;47,1210964;PL_M
PC4205;PL;13,6;29,49;M;;0,03;0,12;14,03624347;0,07;0,11;32,47119229;0,13;0,06;24,77514057;0,12;0,04;18,43494882;PL_M
PC4206;PL;13,3;25,06;M;;0,07;0,14;26,56505118;0,08;0,14;29,7448813;0,17;0,06;19,44003483;0,18;0,07;21,25050551;PL_M
PC4208;PL;14,7;37,35;M;;0,09;0,16;29,35775354;0,09;0,14;32,73522627;0,19;0,08;22,83365418;0,18;0,08;23,96248897;PL_M
PC4210;PL;17;52,56;M;;0,11;0,15;36,25383774;0,12;0,19;32,27564431;0,17;0,08;25,20112365;0,18;0,06;18,43494882;PL_M
PC4211;PL;15,6;39,25;M;;0,07;0,16;23,62937773;0,03;0,22;7,765166018;0,16;0,1;32,00538321;0,18;0,06;18,43494882;PL_M
PC4212;PL;13,4;25,34;M;;0,08;0,12;33,69006753;0,09;0,14;32,73522627;0,14;0,09;32,73522627;0,12;0,09;36,86989765;PL_M
PC4213;PL;14,4;33,98;M;;0,07;0,16;23,62937773;0,06;0,13;24,77514057;0,17;0,07;22,38013505;0,19;0,09;25,34617594;PL_M
PC4214;PL;12;20,83;M;;0,09;0,12;36,86989765;0,07;0,14;26,56505118;0,12;0,08;33,69006753;0,08;0,07;41,18592517;PL_M
PC4216;PL;16,1;48,79;M;;0,11;0,15;36,25383774;0,13;0,12;47,29061004;0,18;0,1;29,0546041;0,15;0,16;46,84761027;PL_M
PC4217;PL;15,2;42,11;M;;0,07;0,15;25,01689348;0,06;0,08;36,86989765;0,14;0,1;35,53767779;0,12;0,07;30,25643716;PL_M
PC4218;PL;17,5;61,78;M;;0,02;0,18;6,340191746;0,05;0,15;18,43494882;0,18;0,07;21,25050551;0,19;0,06;17,52556837;PL_M
PC4219;SB;10,5;20,71;M;;0,17;0,04;76,75948008;0,18;0,16;48,36646066;0,18;0,16;41,63353934;0,14;0,22;57,52880771;SB_M
PC4220;SB;14,2;21,42;M;;0,19;0,14;53,61564818;0,17;0,17;45;0,14;0,19;53,61564818;0,15;0,17;48,57633437;SB_M
PC4221;SB;20,8;102,75;F;;0,25;0,23;47,38594403;0,18;0,2;41,9872125;0,2;0,17;40,36453657;0,27;0,16;30,65066796;SB_F
PC4222;SB;14,1;32,86;M;;0,28;0,26;47,1210964;0,23;0,24;43,78112476;0,18;0,2;48,0127875;0,19;0,19;45;SB_M
PC4223;SB;14,3;31,8;F;;0,18;0,14;52,12501635;0,22;0,18;50,71059314;0,11;0,2;61,18920626;0,18;0,19;46,5481577;SB_F
PC4225;SB;16;44,77;F;;0,21;0,11;62,35402464;0,23;0,21;47,6025622;0,14;0,2;55,0079798;0,16;0,22;53,97262661;SB_F
PC4226;SB;11,9;14,48;F;;0,16;0,11;55,49147701;0,18;0,15;50,19442891;0,11;0,18;58,57043439;0,15;0,17;48,57633437;SB_F
PC4227;SB;13,6;27,99;M;;0,18;0,14;52,12501635;0,2;0,19;46,46880071;0,16;0,14;41,18592517;0,15;0,16;46,84761027;SB_M
PC4228;SB;20,2;103,34;F;;0,29;0,21;54,09027692;0,27;0,13;64,29004622;0,21;0,32;56,72511202;0,2;0,3;56,30993247;SB_F
PC4229;SB;17;71,77;F;;0,21;0,14;56,30993247;0,19;0,19;45;0,14;0,17;50,52754015;0,16;0,16;45;SB_F
PC4230;SB;14,2;32,22;F;;0,19;0,18;46,5481577;0,19;0,22;40,81508387;0,16;0,16;45;0,19;0,19;45;SB_F
PC4232;SB;24,2;147,58;F;;0,25;0,22;48,65222278;0,35;0,18;62,78388844;0,25;0,26;46,12330271;0,26;0,29;48,12213046;SB_F
PC4237;PI;43,2;980;F;;0,4;0,49;39,2256741;0,38;0,47;38,95590784;0,41;0,53;52,27500496;0,5;0,44;41,34777722;PI_F
PC4238;PI;50;1795;M;;0,77;0,87;41,51067509;0,66;0,93;35,36246189;0,85;0,82;43,9708452;0,82;0,66;38,8298249;PI_M
PC4239;LB;43,4;995;M;;0,49;0,63;37,87498365;0,31;0,54;29,85901616;0,51;0,52;45,55625223;0,61;0,46;37,01988625;LB_M
PC4240;PI;41;780;F;;0,54;0,45;50,19442891;0,55;0,59;42,99044619;0,5;0,57;48,7429883;0,53;0,51;43,89829388;PI_F
PC4241;PI;35,6;490;F;;0,09;0,48;10,61965528;0,32;0,48;33,69006753;0,41;0,21;27,1213034;0,44;0,29;33,38851358;PI_F
PC4242;PI;33;425;M;;0,31;0,34;42,35745471;0,34;0,33;45,8550974;0,49;0,33;33,95905982;0,45;0,33;36,25383774;PI_M
